comm_id,donor_id,campaign_id,comm_date,comm_type,outcome,resulted_in_donation,cost
COM000001,D01258,C023,2021-10-20,Direct Mail,Bounced,0,1.19
COM000002,D00480,C011,2020-02-26,SMS,Opened,0,14.61
COM000003,D01009,C030,2024-06-16,Newsletter,Bounced,0,24.21
COM000004,D00587,C003,2022-09-01,Impact Report,Opened,0,4.77
COM000005,D00918,C027,2022-11-27,Newsletter,Opened,0,5.37
COM000006,D00919,C002,2024-11-04,SMS,Opened,0,19.89
COM000007,D01622,C019,2024-09-12,Thank You Letter,Bounced,0,12.77
COM000008,D00965,C014,2021-03-04,Impact Report,Donated,1,5.33
COM000009,D00386,C011,2024-11-10,Direct Mail,Donated,1,8.95
COM000010,D00172,C004,2024-02-13,Impact Report,No Response,0,7.15
COM000011,D01090,C011,2023-07-12,Impact Report,Opened,0,12.84
COM000012,D01300,C013,2023-06-22,SMS,Opened,0,3.87
COM000013,D01977,C011,2023-01-28,Phone Call,Bounced,0,11.25
COM000014,D00002,C029,2021-10-10,Email,Donated,1,21.44
COM000015,D00024,C027,2023-11-09,Event Invitation,No Response,0,11.89
COM000016,D01407,C005,2020-05-13,Email,No Response,0,10.05
COM000017,D00476,C011,2023-07-03,Thank You Letter,Opened,0,24.35
COM000018,D01088,C020,2020-06-21,Phone Call,Unsubscribed,0,7.25
COM000019,D01525,C015,2023-03-02,Impact Report,Clicked,0,5.41
COM000020,D01468,C020,2020-02-01,Newsletter,Clicked,0,20.11
COM000021,D00565,C003,2023-01-27,Impact Report,No Response,0,13.7
COM000022,D01740,C029,2022-02-12,Event Invitation,No Response,0,2.38
COM000023,D01306,C015,2024-03-06,Newsletter,No Response,0,19.06
COM000024,D01916,C019,2020-12-17,Newsletter,No Response,0,15.23
COM000025,D00265,C003,2023-06-23,Phone Call,No Response,0,8.47
COM000026,D00998,C029,2024-11-11,Thank You Letter,Attended,0,22.35
COM000027,D01736,C017,2023-02-05,Direct Mail,Opened,0,15.19
COM000028,D01203,C017,2022-04-18,Direct Mail,No Response,0,7.7
COM000029,D00023,C014,2020-07-25,Event Invitation,Attended,0,3.41
COM000030,D01962,C015,2024-04-08,Thank You Letter,Donated,1,3.63
COM000031,D01851,C011,2021-04-30,SMS,No Response,0,22.53
COM000032,D01586,C007,2021-04-29,Phone Call,No Response,0,4.9
COM000033,D00210,C021,2020-04-06,Email,Opened,0,3.94
COM000034,D01933,C024,2024-08-06,Event Invitation,No Response,0,21.77
COM000035,D01881,C023,2024-02-22,Event Invitation,Opened,0,15.48
COM000036,D00473,C024,2022-01-02,Phone Call,Opened,0,12.47
COM000037,D00423,C009,2021-11-01,Thank You Letter,Opened,0,15.19
COM000038,D00359,C004,2023-07-24,Email,Opened,0,15.54
COM000039,D00807,C015,2020-12-12,Email,Attended,0,22.76
COM000040,D00278,C029,2023-08-17,Email,Unsubscribed,0,5.31
COM000041,D00809,C027,2023-10-28,Direct Mail,No Response,0,4.3
COM000042,D00559,C024,2021-05-10,Email,Bounced,0,5.54
COM000043,D01429,C007,2022-10-14,SMS,No Response,0,2.12
COM000044,D00238,C023,2023-08-07,Impact Report,No Response,0,4.12
COM000045,D01085,C028,2023-05-27,Event Invitation,No Response,0,10.37
COM000046,D00448,C007,2020-10-27,Thank You Letter,No Response,0,12.47
COM000047,D00939,C001,2024-12-03,Phone Call,Unsubscribed,0,4.57
COM000048,D01766,C016,2021-01-23,Phone Call,No Response,0,24.49
COM000049,D01341,C010,2024-08-18,SMS,Opened,0,17.97
COM000050,D01834,C009,2023-05-15,Direct Mail,No Response,0,17.01
COM000051,D01795,C003,2022-04-04,SMS,Bounced,0,2.46
COM000052,D01381,C024,2020-06-27,Event Invitation,Bounced,0,21.54
COM000053,D01626,C016,2024-01-28,Phone Call,Clicked,0,24.83
COM000054,D01320,C011,2022-11-08,Email,No Response,0,1.86
COM000055,D01808,C029,2022-07-29,Impact Report,Opened,0,22.36
COM000056,D00623,C027,2023-01-22,Phone Call,Opened,0,17.43
COM000057,D00024,C017,2022-11-16,SMS,Donated,1,5.87
COM000058,D01166,C011,2022-02-03,Event Invitation,Opened,0,4.08
COM000059,D01414,C016,2024-02-10,SMS,No Response,0,2.59
COM000060,D00254,C004,2022-09-04,Newsletter,No Response,0,23.18
COM000061,D00058,C019,2020-12-29,Phone Call,No Response,0,23.86
COM000062,D01875,C027,2022-08-31,Impact Report,No Response,0,11.08
COM000063,D00971,C014,2022-06-15,Email,Donated,1,4.2
COM000064,D01395,C016,2023-11-12,Event Invitation,Unsubscribed,0,10.51
COM000065,D00505,C005,2024-11-06,Thank You Letter,Opened,0,3.91
COM000066,D00089,C002,2021-08-04,Direct Mail,Opened,0,1.06
COM000067,D01188,C020,2023-08-26,Phone Call,Opened,0,6.96
COM000068,D00653,C002,2020-05-21,Email,No Response,0,10.05
COM000069,D01111,C026,2021-08-02,Thank You Letter,No Response,0,12.83
COM000070,D01352,C030,2020-01-14,Email,Donated,1,6.74
COM000071,D01751,C003,2020-05-11,Direct Mail,No Response,0,6.71
COM000072,D01993,C002,2020-09-11,Impact Report,Opened,0,15.11
COM000073,D00094,C010,2024-07-25,Impact Report,Clicked,0,19.68
COM000074,D01708,C014,2020-01-06,Direct Mail,Opened,0,13.03
COM000075,D01672,C018,2022-08-22,SMS,No Response,0,4.98
COM000076,D00020,C004,2021-04-01,Direct Mail,No Response,0,21.07
COM000077,D01631,C001,2023-12-28,Impact Report,Attended,0,11.27
COM000078,D00952,C027,2020-02-20,Thank You Letter,Donated,1,7.8
COM000079,D00685,C006,2020-10-27,Thank You Letter,No Response,0,2.13
COM000080,D01131,C021,2020-05-02,Phone Call,Clicked,0,17.84
COM000081,D00183,C016,2022-10-22,Phone Call,No Response,0,3.46
COM000082,D01868,C014,2022-02-05,Thank You Letter,Called Back,0,6.97
COM000083,D00275,C020,2023-03-26,SMS,Unsubscribed,0,21.94
COM000084,D01809,C019,2022-10-31,Newsletter,Opened,0,0.82
COM000085,D00812,C027,2020-07-28,Impact Report,Opened,0,14.12
COM000086,D00174,C012,2020-02-24,Event Invitation,No Response,0,18.98
COM000087,D00261,C010,2020-05-20,Phone Call,No Response,0,4.94
COM000088,D00198,C017,2024-11-07,Phone Call,No Response,0,9.93
COM000089,D00892,C017,2020-04-12,Email,Clicked,0,3.4
COM000090,D01916,C003,2023-12-19,Direct Mail,No Response,0,19.55
COM000091,D00944,C009,2022-03-09,Newsletter,No Response,0,10.75
COM000092,D01259,C002,2023-12-13,Newsletter,Clicked,0,1.12
COM000093,D00186,C015,2021-08-05,SMS,Opened,0,20.07
COM000094,D01689,C022,2024-01-18,SMS,No Response,0,7.95
