donation_id,donor_id,campaign_id,donation_date,amount,payment_method,is_recurring,status,channel,fiscal_year,quarter,month,year
DON000001,D01861,C006,2020-08-27,108.8,Bank Transfer,0,Completed,Social Media,FY2020,Q3,August,2020
DON000002,D01153,C020,2020-09-14,24300.0,Direct Debit,1,Completed,Direct Mail,FY2020,Q3,September,2020
DON000003,D00850,C025,2024-04-09,29100.0,Bank Transfer,0,Completed,Direct Mail,FY2023,Q2,April,2024
DON000004,D00349,C003,2022-08-25,5140.0,PayPal,1,Completed,Telephone,FY2022,Q3,August,2022
DON000005,D01514,C024,2020-10-20,83.0,Credit Card,1,Completed,Telephone,FY2020,Q4,October,2020
DON000006,D01901,C026,2022-11-13,81.0,Bank Transfer,0,Completed,Telephone,FY2022,Q4,November,2022
DON000007,D01586,C014,2022-04-14,57.5,Bank Transfer,0,Completed,Corporate,FY2021,Q2,April,2022
DON000008,D01194,C015,2024-06-26,136.2,Direct Debit,1,Completed,Corporate,FY2023,Q2,June,2024
DON000009,D00812,C004,2021-03-17,2605.0,Bank Transfer,0,Completed,Email,FY2020,Q1,March,2021
DON000010,D01726,C023,2023-07-09,62.4,Credit Card,1,Refunded,Event,FY2023,Q3,July,2023
DON000011,D00022,C018,2021-06-20,26.8,Credit Card,0,Completed,Online,FY2020,Q2,June,2021
DON000012,D01098,C013,2021-07-17,60600.0,Direct Debit,0,Completed,Telephone,FY2021,Q3,July,2021
DON000013,D00239,C022,2023-10-16,11980.0,Direct Debit,0,Completed,Recurring,FY2023,Q4,October,2023
DON000014,D01246,C011,2024-07-06,214.5,Cash,1,Completed,Direct Mail,FY2024,Q3,July,2024
DON000015,D01948,C017,2024-07-09,134000.0,Direct Debit,0,Completed,Online,FY2024,Q3,July,2024
DON000016,D00448,C016,2022-04-25,181.5,Bank Transfer,0,Completed,Telephone,FY2021,Q2,April,2022
DON000017,D01654,C024,2020-11-11,25.45,Direct Debit,0,Completed,Telephone,FY2020,Q4,November,2020
DON000018,D00275,C008,2022-10-20,120.9,Credit Card,0,Completed,Event,FY2022,Q4,October,2022
DON000019,D01256,C018,2021-07-08,35600.0,Direct Debit,1,Completed,Online,FY2021,Q3,July,2021
DON000020,D01728,C006,2020-08-12,138.6,Bank Transfer,0,Completed,Social Media,FY2020,Q3,August,2020
DON000021,D00827,C027,2022-06-05,91.0,Direct Debit,0,Completed,Email,FY2021,Q2,June,2022
DON000022,D00302,C020,2021-02-17,398.5,Credit Card,0,Completed,Direct Mail,FY2020,Q1,February,2021
DON000023,D01209,C022,2023-11-28,587000.0,Credit Card,0,Completed,Recurring,FY2023,Q4,November,2023
DON000024,D00687,C028,2024-10-09,223500.0,Direct Debit,1,Completed,Direct Mail,FY2024,Q4,October,2024
DON000025,D01353,C006,2020-08-28,20.6,Bank Transfer,0,Completed,Social Media,FY2020,Q3,August,2020
DON000026,D00981,C001,2021-12-06,12550.0,PayPal,1,Failed,Peer-to-Peer,FY2021,Q4,December,2021
DON000027,D01239,C003,2022-08-25,796.0,Direct Debit,0,Completed,Telephone,FY2022,Q3,August,2022
DON000028,D00028,C028,2024-08-29,816.0,Cash,0,Completed,Direct Mail,FY2024,Q3,August,2024
DON000029,D01985,C001,2021-11-15,928.0,Credit Card,1,Completed,Peer-to-Peer,FY2021,Q4,November,2021
DON000030,D01277,C013,2021-09-03,157.6,Cash,0,Completed,Telephone,FY2021,Q3,September,2021
DON000031,D00114,C020,2020-10-14,69.6,Bank Transfer,1,Completed,Direct Mail,FY2020,Q4,October,2020
DON000032,D01325,C015,2024-05-27,828.0,Bank Transfer,0,Completed,Corporate,FY2023,Q2,May,2024
DON000033,D00194,C017,2024-06-30,331.0,Credit Card,0,Completed,Online,FY2023,Q2,June,2024
DON000034,D01405,C023,2023-07-17,109.2,Credit Card,0,Completed,Event,FY2023,Q3,July,2023
DON000035,D01980,C007,2020-03-04,569.0,PayPal,0,Completed,Direct Mail,FY2019,Q1,March,2020
DON000036,D01698,C030,2024-10-21,24.0,Credit Card,0,Completed,Online,FY2024,Q4,October,2024
DON000037,D01869,C008,2022-10-09,2855.0,Credit Card,0,Refunded,Event,FY2022,Q4,October,2022
DON000038,D01694,C029,2023-07-10,26550.0,Bank Transfer,0,Completed,Peer-to-Peer,FY2023,Q3,July,2023
DON000039,D01704,C030,2024-10-31,107.0,Credit Card,0,Completed,Online,FY2024,Q4,October,2024
DON000040,D01039,C014,2022-06-17,21600.0,Direct Debit,0,Completed,Corporate,FY2021,Q2,June,2022
DON000041,D01185,C020,2021-01-20,23.05,Direct Debit,0,Completed,Direct Mail,FY2020,Q1,January,2021
DON000042,D00058,C029,2023-09-14,2750.0,Cash,0,Completed,Peer-to-Peer,FY2023,Q3,September,2023
DON000043,D00784,C023,2023-07-21,64.2,Direct Debit,0,Completed,Event,FY2023,Q3,July,2023
DON000044,D01743,C014,2022-03-20,113.0,PayPal,0,Completed,Corporate,FY2021,Q1,March,2022
DON000045,D00664,C001,2021-11-06,2120.0,Cheque,0,Completed,Peer-to-Peer,FY2021,Q4,November,2021
DON000046,D00457,C006,2020-08-17,631.0,Bank Transfer,0,Completed,Social Media,FY2020,Q3,August,2020
DON000047,D01815,C002,2024-07-02,170400.0,Direct Debit,0,Completed,Recurring,FY2024,Q3,July,2024
DON000048,D01345,C028,2024-08-11,645.0,Credit Card,0,Completed,Direct Mail,FY2024,Q3,August,2024
DON000049,D00332,C012,2022-12-06,189.9,Bank Transfer,0,Completed,Peer-to-Peer,FY2022,Q4,December,2022
DON000050,D00227,C020,2021-02-20,10.0,Cash,0,Completed,Direct Mail,FY2020,Q1,February,2021
DON000051,D00572,C010,2021-04-12,75.2,Direct Debit,0,Completed,Direct Mail,FY2020,Q2,April,2021
DON000052,D00011,C020,2021-02-11,5800.0,Credit Card,0,Completed,Direct Mail,FY2020,Q1,February,2021
DON000053,D00161,C020,2021-01-26,1056.0,Direct Debit,0,Completed,Direct Mail,FY2020,Q1,January,2021
DON000054,D01062,C019,2020-07-15,30.2,Bank Transfer,0,Completed,Peer-to-Peer,FY2020,Q3,July,2020
